jwl0117,JUM'AT,3,VIIC,bio0031
jwl0118,JUM'AT,4,VIIC,bio0011
jwl0119,JUM'AT,5,VIIC,bio0011
jwl0120,SABTU,1,VIIC,bio0008
jwl0121,SABTU,2,VIIC,bio0017
jwl0122,SABTU,3,VIIC,bio0017
jwl0123,SABTU,4,VIIC,bio0005
jwl0124,SABTU,5,VIIC,bio0005
jwl0125,SABTU,6,VIIC,bio0035
jwl0126,SABTU,7,VIIC,bio0035
jwl0127,SENIN,3,VIID,bio0035
jwl0128,SENIN,4,VIID,bio0035
jwl0129,SENIN,5,VIID,bio0017
jwl0130,SENIN,6,VIID,bio0017
jwl0131,SENIN,7,VIID,bio0031
jwl0132,SENIN,8,VIID,bio0031
jwl0133,SELASA,1,VIID,bio0048
jwl0134,SELASA,2,VIID,bio0048
jwl0135,SELASA,3,VIID,bio0048
jwl0136,SELASA,4,VIID,bio0005
jwl0137,SELASA,5,VIID,bio0005
jwl0138,SELASA,6,VIID,bio0010
jwl0139,SELASA,7,VIID,bio0010
jwl0140,SELASA,8,VIID,bio0010
jwl0141,RABU,1,VIID,bio0006
jwl0142,RABU,2,VIID,bio0006
jwl0143,RABU,3,VIID,bio0032
jwl0144,RABU,4,VIID,bio0032
jwl0145,RABU,5,VIID,bio0032
jwl0146,RABU,6,VIID,bio0023
jwl0147,RABU,7,VIID,bio0023
jwl0148,RABU,8,VIID,bio0023
jwl0149,KAMIS,1,VIID,bio0011
jwl0150,KAMIS,2,VIID,bio0011
jwl0151,KAMIS,3,VIID,bio0037
jwl0152,KAMIS,4,VIID,bio0037
jwl0153,KAMIS,5,VIID,bio0037
jwl0154,KAMIS,6,VIID,bio0017
jwl0155,KAMIS,7,VIID,bio0017
jwl0156,KAMIS,8,VIID,bio0008
jwl0157,JUM'AT,1,VIID,-
jwl0158,JUM'AT,2,VIID,bio0005
jwl0159,JUM'AT,3,VIID,bio0005
jwl0160,JUM'AT,4,VIID,bio0010
jwl0161,JUM'AT,5,VIID,bio0010
jwl0162,SABTU,1,VIID,bio0011
jwl0163,SABTU,2,VIID,bio0011
jwl0164,SABTU,3,VIID,bio0011
jwl0165,SABTU,4,VIID,bio0006
jwl0166,SABTU,5,VIID,bio0006
jwl0167,SABTU,6,VIID,bio0005
jwl0168,SABTU,7,VIID,bio0005
jwl0169,SENIN,3,VIIE,bio0046
jwl0170,SENIN,4,VIIE,bio0046
jwl0171,SENIN,5,VIIE,bio0010
jwl0172,SENIN,6,VIIE,bio0010
jwl0173,SENIN,7,VIIE,bio0006
jwl0174,SENIN,8,VIIE,bio0006
jwl0175,SELASA,1,VIIE,bio0017
jwl0176,SELASA,2,VIIE,bio0017
jwl0177,SELASA,3,VIIE,bio0011
jwl0178,SELASA,4,VIIE,bio0011
jwl0179,SELASA,5,VIIE,bio0011
jwl0180,SELASA,6,VIIE,bio0032
jwl0181,SELASA,7,VIIE,bio0032
jwl0182,SELASA,8,VIIE,bio0032
jwl0183,RABU,1,VIIE,bio0005
jwl0184,RABU,2,VIIE,bio0005
jwl0185,RABU,3,VIIE,bio0006
jwl0186,RABU,4,VIIE,bio0006
jwl0187,RABU,5,VIIE,bio0037
jwl0188,RABU,6,VIIE,bio0037
jwl0189,RABU,7,VIIE,bio0037
jwl0190,RABU,8,VIIE,bio0008
jwl0191,KAMIS,1,VIIE,bio0010
jwl0192,KAMIS,2,VIIE,bio0010
jwl0193,KAMIS,3,VIIE,bio0010
jwl0194,KAMIS,4,VIIE,bio0048
jwl0195,KAMIS,5,VIIE,bio0048
jwl0196,KAMIS,6,VIIE,bio0048
jwl0197,KAMIS,7,VIIE,bio0005
jwl0198,KAMIS,8,VIIE,bio0005
jwl0199,JUM'AT,1,VIIE,-
jwl0200,JUM'AT,2,VIIE,bio0011
jwl0201,JUM'AT,3,VIIE,bio0011
jwl0202,JUM'AT,4,VIIE,bio0017
jwl0203,JUM'AT,5,VIIE,bio0017
jwl0204,SABTU,1,VIIE,bio0005
jwl0205,SABTU,2,VIIE,bio0005
jwl0206,SABTU,3,VIIE,bio0031
jwl0207,SABTU,4,VIIE,bio0031
jwl0208,SABTU,5,VIIE,bio0023
jwl0209,SABTU,6,VIIE,bio0023
jwl0210,SABTU,7,VIIE,bio0023
jwl0211,SENIN,3,VIIF,bio0011
jwl0212,SENIN,4,VIIF,bio0011
jwl0213,SENIN,5,VIIF,bio0011
jwl0214,SENIN,6,VIIF,bio0023
jwl0215,SENIN,7,VIIF,bio0023
jwl0216,SENIN,8,VIIF,bio0023
jwl0217,SELASA,1,VIIF,bio0008
jwl0218,SELASA,2,VIIF,bio0038
jwl0219,SELASA,3,VIIF,bio0038
jwl0220,SELASA,4,VIIF,bio0010
jwl0221,SELASA,5,VIIF,bio0010
jwl0222,SELASA,6,VIIF,bio0037
jwl0223,SELASA,7,VIIF,bio0037
jwl0224,SELASA,8,VIIF,bio0037
jwl0225,RABU,1,VIIF,bio0046
jwl0226,RABU,2,VIIF,bio0046
jwl0227,RABU,3,VIIF,bio0017
jwl0228,RABU,4,VIIF,bio0017
jwl0229,RABU,5,VIIF,bio0038
jwl0230,RABU,6,VIIF,bio0038
jwl0231,RABU,7,VIIF,bio0006
jwl0232,RABU,8,VIIF,bio0006
jwl0233,KAMIS,1,VIIF,bio0048
jwl0234,KAMIS,2,VIIF,bio0048
jwl0235,KAMIS,3,VIIF,bio0048
jwl0236,KAMIS,4,VIIF,bio0010
jwl0237,KAMIS,5,VIIF,bio0010
jwl0238,KAMIS,6,VIIF,bio0010
jwl0239,KAMIS,7,VIIF,bio0031
jwl0240,KAMIS,8,VIIF,bio0031
jwl0241,JUM'AT,1,VIIF,-
jwl0242,JUM'AT,2,VIIF,bio0006
jwl0243,JUM'AT,3,VIIF,bio0006
jwl0244,JUM'AT,4,VIIF,bio0038
jwl0245,JUM'AT,5,VIIF,bio0038
jwl0246,SABTU,1,VIIF,bio0032
jwl0247,SABTU,2,VIIF,bio0032
jwl0248,SABTU,3,VIIF,bio0032
jwl0249,SABTU,4,VIIF,bio0011
jwl0250,SABTU,5,VIIF,bio0011
jwl0251,SABTU,6,VIIF,bio0017
jwl0252,SABTU,7,VIIF,bio0017
jwl0253,SENIN,3,VIIG,bio0023
jwl0254,SENIN,4,VIIG,bio0023
jwl0255,SENIN,5,VIIG,bio0023
jwl0256,SENIN,6,VIIG,bio0037
jwl0257,SENIN,7,VIIG,bio0037
jwl0258,SENIN,8,VIIG,bio0037
jwl0259,SELASA,1,VIIG,bio0018
jwl0260,SELASA,2,VIIG,bio0018
jwl0261,SELASA,3,VIIG,bio0018
jwl0262,SELASA,4,VIIG,bio0038
jwl0263,SELASA,5,VIIG,bio0038
jwl0264,SELASA,6,VIIG,bio0030
jwl0265,SELASA,7,VIIG,bio0030
jwl0266,SELASA,8,VIIG,bio0030
jwl0267,RABU,1,VIIG,bio0031
jwl0268,RABU,2,VIIG,bio0031
jwl0269,RABU,3,VIIG,bio0022
jwl0270,RABU,4,VIIG,bio0022
jwl0271,RABU,5,VIIG,bio0035
jwl0272,RABU,6,VIIG,bio0035
jwl0273,RABU,7,VIIG,bio0046
jwl0274,RABU,8,VIIG,bio0046
jwl0275,KAMIS,1,VIIG,bio0018
jwl0276,KAMIS,2,VIIG,bio0018
jwl0277,KAMIS,3,VIIG,bio0047
jwl0278,KAMIS,4,VIIG,bio0038
jwl0279,KAMIS,5,VIIG,bio0038
jwl0280,KAMIS,6,VIIG,bio0032
jwl0281,KAMIS,7,VIIG,bio0032
jwl0282,KAMIS,8,VIIG,bio0032
jwl0283,JUM'AT,1,VIIG,-
jwl0284,JUM'AT,2,VIIG,bio0022
jwl0285,JUM'AT,3,VIIG,bio0022
jwl0286,JUM'AT,4,VIIG,bio0030
jwl0287,JUM'AT,5,VIIG,bio0030
jwl0288,SABTU,1,VIIG,bio0048
jwl0289,SABTU,2,VIIG,bio0048
jwl0290,SABTU,3,VIIG,bio0048
jwl0291,SABTU,4,VIIG,bio0035
jwl0292,SABTU,5,VIIG,bio0035
jwl0293,SABTU,6,VIIG,bio0038
jwl0294,SABTU,7,VIIG,bio0038
jwl0295,SENIN,3,VIIH,bio0030
jwl0296,SENIN,4,VIIH,bio0030
jwl0297,SENIN,5,VIIH,bio0035
jwl0298,SENIN,6,VIIH,bio0035
jwl0299,SENIN,7,VIIH,bio0022
jwl0300,SENIN,8,VIIH,bio0022
jwl0301,SELASA,1,VIIH,bio0023
jwl0302,SELASA,2,VIIH,bio0023
jwl0303,SELASA,3,VIIH,bio0023
jwl0304,SELASA,4,VIIH,bio0018
jwl0305,SELASA,5,VIIH,bio0018
jwl0306,SELASA,6,VIIH,bio0018
jwl0307,SELASA,7,VIIH,bio0038
jwl0308,SELASA,8,VIIH,bio0038
jwl0309,RABU,1,VIIH,bio0022
jwl0310,RABU,2,VIIH,bio0022
jwl0311,RABU,3,VIIH,bio0035
jwl0312,RABU,4,VIIH,bio0035
jwl0313,RABU,5,VIIH,bio0046
jwl0314,RABU,6,VIIH,bio0046
jwl0315,RABU,7,VIIH,bio0038
jwl0316,RABU,8,VIIH,bio0038
jwl0317,KAMIS,1,VIIH,bio0030
jwl0318,KAMIS,2,VIIH,bio0030
jwl0319,KAMIS,3,VIIH,bio0030
jwl0320,KAMIS,4,VIIH,bio0018
jwl0321,KAMIS,5,VIIH,bio0018
jwl0322,KAMIS,6,VIIH,bio0013
jwl0323,KAMIS,7,VIIH,bio0013
jwl0324,KAMIS,8,VIIH,bio0013
jwl0325,JUM'AT,1,VIIH,-
jwl0326,JUM'AT,2,VIIH,bio0047
jwl0327,JUM'AT,3,VIIH,bio0048
jwl0328,JUM'AT,4,VIIH,bio0048
jwl0329,JUM'AT,5,VIIH,bio0048
jwl0330,SABTU,1,VIIH,bio0038
jwl0331,SABTU,2,VIIH,bio0038
jwl0332,SABTU,3,VIIH,bio0027
jwl0333,SABTU,4,VIIH,bio0027
jwl0334,SABTU,5,VIIH,bio0027
jwl0335,SABTU,6,VIIH,bio0031
jwl0336,SABTU,7,VIIH,bio0031
jwl0337,SENIN,3,VIIIA,bio0044
jwl0338,SENIN,4,VIIIA,bio0044
jwl0339,SENIN,5,VIIIA,bio0044
jwl0340,SENIN,6,VIIIA,bio0007
jwl0341,SENIN,7,VIIIA,bio0007
jwl0342,SENIN,8,VIIIA,bio0007
jwl0343,SELASA,1,VIIIA,bio0014
jwl0344,SELASA,2,VIIIA,bio0014
jwl0345,SELASA,3,VIIIA,bio0028
jwl0346,SELASA,4,VIIIA,bio0028
jwl0347,SELASA,5,VIIIA,bio0021
jwl0348,SELASA,6,VIIIA,bio0021
jwl0349,SELASA,7,VIIIA,bio0024
jwl0350,SELASA,8,VIIIA,bio0024
jwl0351,RABU,1,VIIIA,bio0018
jwl0352,RABU,2,VIIIA,bio0018
jwl0353,RABU,3,VIIIA,bio0018
jwl0354,RABU,4,VIIIA,bio0003
jwl0355,RABU,5,VIIIA,bio0003
jwl0356,RABU,6,VIIIA,bio0003
jwl0357,RABU,7,VIIIA,bio0024
jwl0358,RABU,8,VIIIA,bio0024
jwl0359,KAMIS,1,VIIIA,bio0007
jwl0360,KAMIS,2,VIIIA,bio0007
jwl0361,KAMIS,3,VIIIA,bio0031
jwl0362,KAMIS,4,VIIIA,bio0031
jwl0363,KAMIS,5,VIIIA,bio0031
jwl0364,KAMIS,6,VIIIA,bio0025
jwl0365,KAMIS,7,VIIIA,bio0025
jwl0366,KAMIS,8,VIIIA,bio0025
jwl0367,JUM'AT,1,VIIIA,-
jwl0368,JUM'AT,2,VIIIA,bio0014
jwl0369,JUM'AT,3,VIIIA,bio0014
jwl0370,JUM'AT,4,VIIIA,bio0043
jwl0371,JUM'AT,5,VIIIA,bio0043
jwl0372,SABTU,1,VIIIA,bio0018
jwl0373,SABTU,2,VIIIA,bio0018
jwl0374,SABTU,3,VIIIA,bio0028
jwl0375,SABTU,4,VIIIA,bio0028
jwl0376,SABTU,5,VIIIA,bio0008
jwl0377,SABTU,6,VIIIA,bio0024
jwl0378,SABTU,7,VIIIA,bio0024
jwl0379,SENIN,3,VIIIB,bio0028
jwl0380,SENIN,4,VIIIB,bio0028
jwl0381,SENIN,5,VIIIB,bio0014
jwl0382,SENIN,6,VIIIB,bio0014
jwl0383,SENIN,7,VIIIB,bio0024
jwl0384,SENIN,8,VIIIB,bio0024
jwl0385,SELASA,1,VIIIB,bio0024
jwl0386,SELASA,2,VIIIB,bio0024
jwl0387,SELASA,3,VIIIB,bio0021
jwl0388,SELASA,4,VIIIB,bio0021
jwl0389,SELASA,5,VIIIB,bio0043
jwl0390,SELASA,6,VIIIB,bio0043
jwl0391,SELASA,7,VIIIB,bio0018
jwl0392,SELASA,8,VIIIB,bio0018
jwl0393,RABU,1,VIIIB,bio0003
jwl0394,RABU,2,VIIIB,bio0003
jwl0395,RABU,3,VIIIB,bio0003
jwl0396,RABU,4,VIIIB,bio0031
jwl0397,RABU,5,VIIIB,bio0031
jwl0398,RABU,6,VIIIB,bio0031
jwl0399,RABU,7,VIIIB,bio0028
jwl0400,RABU,8,VIIIB,bio0028
jwl0401,KAMIS,1,VIIIB,bio0024
jwl0402,KAMIS,2,VIIIB,bio0024
jwl0403,KAMIS,3,VIIIB,bio0007
jwl0404,KAMIS,4,VIIIB,bio0007
jwl0405,KAMIS,5,VIIIB,bio0007
jwl0406,KAMIS,6,VIIIB,bio0018
jwl0407,KAMIS,7,VIIIB,bio0018
jwl0408,KAMIS,8,VIIIB,bio0018
jwl0409,JUM'AT,1,VIIIB,-
